camp_id,block_id,variable,count
CXB-214,CXB-214_A073,n_family,1250
CXB-214,CXB-214_A073,n_individuals,5948
CXB-214,CXB-214_A073,f_below_1,98
CXB-214,CXB-214_A073,m_below_1,78
CXB-214,CXB-214_A073,f_1_to_4,422
CXB-214,CXB-214_A073,m_1_to_5,422
CXB-214,CXB-214_A073,f_5_to_11,679
CXB-214,CXB-214_A073,m_5_to_11,651
CXB-214,CXB-214_A073,f_12_to_17,409
CXB-214,CXB-214_A073,m_12_to_17,413
CXB-214,CXB-214_A073,f_18_to_59,1460
CXB-214,CXB-214_A073,m_18_to_59,1116
CXB-214,CXB-214_A073,f_60_plus,91
CXB-214,CXB-214_A073,m_60_plus,109
CXB-214,CXB-214_B074,n_family,1088
CXB-214,CXB-214_B074,n_individuals,5227
CXB-214,CXB-214_B074,f_below_1,78
CXB-214,CXB-214_B074,m_below_1,87
CXB-214,CXB-214_B074,f_1_to_4,329
CXB-214,CXB-214_B074,m_1_to_5,369
CXB-214,CXB-214_B074,f_5_to_11,564
CXB-214,CXB-214_B074,m_5_to_11,623
CXB-214,CXB-214_B074,f_12_to_17,339
CXB-214,CXB-214_B074,m_12_to_17,378
CXB-214,CXB-214_B074,f_18_to_59,1265
CXB-214,CXB-214_B074,m_18_to_59,1009
CXB-214,CXB-214_B074,f_60_plus,86
CXB-214,CXB-214_B074,m_60_plus,100
CXB-214,CXB-214_C075,n_family,1075
CXB-214,CXB-214_C075,n_individuals,4942
CXB-214,CXB-214_C075,f_below_1,76
CXB-214,CXB-214_C075,m_below_1,71
CXB-214,CXB-214_C075,f_1_to_4,338
CXB-214,CXB-214_C075,m_1_to_5,377
CXB-214,CXB-214_C075,f_5_to_11,553
CXB-214,CXB-214_C075,m_5_to_11,539
CXB-214,CXB-214_C075,f_12_to_17,305
CXB-214,CXB-214_C075,m_12_to_17,334
CXB-214,CXB-214_C075,f_18_to_59,1209
CXB-214,CXB-214_C075,m_18_to_59,966
CXB-214,CXB-214_C075,f_60_plus,81
CXB-214,CXB-214_C075,m_60_plus,93
CXB-214,CXB-214_D076,n_family,844
CXB-214,CXB-214_D076,n_individuals,4004
CXB-214,CXB-214_D076,f_below_1,48
CXB-214,CXB-214_D076,m_below_1,72
CXB-214,CXB-214_D076,f_1_to_4,253
CXB-214,CXB-214_D076,m_1_to_5,264
CXB-214,CXB-214_D076,f_5_to_11,416
CXB-214,CXB-214_D076,m_5_to_11,460
CXB-214,CXB-214_D076,f_12_to_17,263
CXB-214,CXB-214_D076,m_12_to_17,280
CXB-214,CXB-214_D076,f_18_to_59,995
CXB-214,CXB-214_D076,m_18_to_59,808
CXB-214,CXB-214_D076,f_60_plus,55
CXB-214,CXB-214_D076,m_60_plus,90
CXB-214,CXB-214_E077,n_family,1109
CXB-214,CXB-214_E077,n_individuals,5143
CXB-214,CXB-214_E077,f_below_1,71
CXB-214,CXB-214_E077,m_below_1,76
CXB-214,CXB-214_E077,f_1_to_4,342
CXB-214,CXB-214_E077,m_1_to_5,336
CXB-214,CXB-214_E077,f_5_to_11,558
CXB-214,CXB-214_E077,m_5_to_11,606
CXB-214,CXB-214_E077,f_12_to_17,296
CXB-214,CXB-214_E077,m_12_to_17,358
CXB-214,CXB-214_E077,f_18_to_59,1288
CXB-214,CXB-214_E077,m_18_to_59,1037
CXB-214,CXB-214_E077,f_60_plus,76
CXB-214,CXB-214_E077,m_60_plus,99
CXB-214,CXB-214_F078,n_family,982
CXB-214,CXB-214_F078,n_individuals,4582
CXB-214,CXB-214_F078,f_below_1,72
CXB-214,CXB-214_F078,m_below_1,64
CXB-214,CXB-214_F078,f_1_to_4,288
CXB-214,CXB-214_F078,m_1_to_5,278
CXB-214,CXB-214_F078,f_5_to_11,429
CXB-214,CXB-214_F078,m_5_to_11,503
CXB-214,CXB-214_F078,f_12_to_17,312
CXB-214,CXB-214_F078,m_12_to_17,298
CXB-214,CXB-214_F078,f_18_to_59,1169
CXB-214,CXB-214_F078,m_18_to_59,990
CXB-214,CXB-214_F078,f_60_plus,81
CXB-214,CXB-214_F078,m_60_plus,98
CXB-217,CXB-217_A079,n_family,1136
CXB-217,CXB-217_A079,n_individuals,5638
CXB-217,CXB-217_A079,f_below_1,80
CXB-217,CXB-217_A079,m_below_1,81
CXB-217,CXB-217_A079,f_1_to_4,332
CXB-217,CXB-217_A079,m_1_to_5,321
CXB-217,CXB-217_A079,f_5_to_11,671
CXB-217,CXB-217_A079,m_5_to_11,662
CXB-217,CXB-217_A079,f_12_to_17,368
CXB-217,CXB-217_A079,m_12_to_17,440
CXB-217,CXB-217_A079,f_18_to_59,1326
CXB-217,CXB-217_A079,m_18_to_59,1152
CXB-217,CXB-217_A079,f_60_plus,80
CXB-217,CXB-217_A079,m_60_plus,125
CXB-217,CXB-217_B080,n_family,963
CXB-217,CXB-217_B080,n_individuals,4557
CXB-217,CXB-217_B080,f_below_1,64
CXB-217,CXB-217_B080,m_below_1,63
CXB-217,CXB-217_B080,f_1_to_4,307
CXB-217,CXB-217_B080,m_1_to_5,253
CXB-217,CXB-217_B080,f_5_to_11,528
CXB-217,CXB-217_B080,m_5_to_11,555
